type,dish,region,state,city,sub-region,location,description,image_url,citations
General Cuisine,Chicken fried bacon,Southwest,['Texas'],[],[],Texas,"Bacon strips dredged in batter and deep fried, like chicken fried steak.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Chicken_Fried_Bacon.jpg/250px-Chicken_Fried_Bacon.jpg,
General Cuisine,Chimichanga,Southwest,['Arizona'],[],[],Arizona,"A deep-friedburrito, usually made with a flour tortilla and various fillings such as beans, rice, cheese, and some type of meat.[12][13][14]",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/2010-02-14_Giant_steak_chimichanga_at_Cosmic_Cantina.jpg/250px-2010-02-14_Giant_steak_chimichanga_at_Cosmic_Cantina.jpg,
General Cuisine,Chitterlings,South,Wyoming,[],"['Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States']",Southern United States,"A food most commonly made from thesmall intestinesof pigs,[15]though beef, lamb,gooseand goat are also used, especially byBlack American Muslims.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/ChitlinsSmall.jpg/250px-ChitlinsSmall.jpg,
General Cuisine,Cincinnati chili,Midwest,['Ohio'],"['Cincinnati, Ohio']",[],Ohio,"A Mediterranean-spiced meat sauce used as a topping withspaghetti(a ""two-way""), with cheese (a ""three-way"") and onions or beans (a ""four-way"" with one, a ""five-way"" with both), or onhot dogs(""coneys""), dishes developed by Macedonian immigrant restaurateurs in the 1920s.[16]",https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Slow_Cooker_Cincinnati_Chili_5of5_%288736304242%29.jpg/250px-Slow_Cooker_Cincinnati_Chili_5of5_%288736304242%29.jpg,
General Cuisine,City chicken,Multiple,"['Ohio', 'Michigan', 'Indiana']",[],[],Indiana,"Cubes of meat (usually pork) which have been placed on a woodenskewer(approximately 4–5 inches (10–13 cm) long), then fried or baked.[17]",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/City-chicken.JPG/250px-City-chicken.JPG,
General Cuisine,Cowboy beans,Southwest,Wyoming,[],"['Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States']",Southwestern United States,Consists of beans and ground beef in a sweet and tangy sauce[18],,
General Cuisine,Egg roll,Northeast,Wyoming,['New York City'],"['New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City']",New York City,"A cylindrical, savory roll with shredded cabbage, chopped meat, or other fillings inside a thickly wrapped wheat flour skin, which is fried in hot oil.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/CookbookEggrollTongs.jpg/250px-CookbookEggrollTongs.jpg,
General Cuisine,Eggs Sardou,South,Wyoming,['New Orleans'],"['New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans', 'New Orleans']",New Orleans,"Poached eggs, artichoke bottoms, creamed spinach, and hollandaise sauce, sometimes with other ingredients such as anchovies or chopped ham.[19]",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Eggs_Sardou.jpg/250px-Eggs_Sardou.jpg,
General Cuisine,Fajita,Southwest,['Texas'],[],[],Texas,"Strips of grilled skirt steak or chicken, cooked with sauteed onions and bell peppers and served on a flour or corn tortilla",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Fajitas_Wraps.JPG/250px-Fajitas_Wraps.JPG,
General Cuisine,Fried cheese curds,Midwest,['Wisconsin'],[],[],Wisconsin,Cheese curds that are battered and deep fried.[20][21],https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Fried_Cheese_Curds_Green_Bay_Wisconsin.JPG/250px-Fried_Cheese_Curds_Green_Bay_Wisconsin.JPG,
General Cuisine,Fried green tomatoes,South,Wyoming,[],"['Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States']",Southern United States,"Unripe tomatoes, sliced, coated with cornmeal, and fried.[22]",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Fried_green_tomatoes.jpg/250px-Fried_green_tomatoes.jpg,
General Cuisine,Fried okra,South,Wyoming,[],"['Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States']",Southern United States,Okrathat has been covered in cornmeal and fried.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/FriedOkra.JPG/250px-FriedOkra.JPG,
General Cuisine,Frito pie,Southwest,Wyoming,[],"['Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States', 'Southwestern United States']",Southwestern United States,"A dish made with chili, cheese, andcorn chips(especiallyFritos). Additions can includepico de gallo,refried beans,sour cream,onions,rice, andjalapeños.[23][24]",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Frito_Pie_-_served_in_the_bag_%2816847451034%29.jpg/250px-Frito_Pie_-_served_in_the_bag_%2816847451034%29.jpg,
General Cuisine,Goetta,Midwest,['Ohio'],"['Cincinnati, Ohio']",[],Ohio,"Goetta (/ˈɡɛtə/GHET-ə) is ground pork or beef mixed withsteel-cut oatsand seasonings, formed into a log, sliced, and fried.  It originated in theOver-the-Rhineneighborhood of Cincinnati.[25]",https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Goetta_tube.jpg/250px-Goetta_tube.jpg,
General Cuisine,Grillades,South,['Louisiana'],[],[],Louisiana,"Grillades (/ɡriːˈjɑːdz/gree-YAHDZ) are fried or seared medallions of meat, usually beef, cooked withCreole-style vegetables and spices.[26]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/GreenGoddessGritsGrillades.JPG/250px-GreenGoddessGritsGrillades.JPG,
General Cuisine,Grits,South,Wyoming,[],"['Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States']",Southern United States,A porridge made from coarsely ground dried corn or hominy.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Grits1.jpg/250px-Grits1.jpg,
General Cuisine,Ham loaf,Northeast,['Pennsylvania'],[],[],Pennsylvania,"A baked meat dish, similar to meatloaf, made of ground ham and ground pork and combined with other ingredients to form a loaf-like shape. Distinct in color and taste from meatloaf, ham loaf is often baked with a sweet glaze, often consisting of brown sugar, molasses, pineapples, or cherries.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Slices_of_hamloaf.jpg/250px-Slices_of_hamloaf.jpg,
